STATECD,UNITCD,COUNTYCD,COUNTYNM,CN,CREATED_DATE,MODIFIED_DATE
72,1,1,Adjuntas,13163727010478,2005-07-25 14:44:52,
72,1,3,Aguada,13163728010478,2005-07-25 14:44:52,
72,1,5,Aguadilla,13163729010478,2005-07-25 14:44:52,
72,1,7,Aguas Buenas,13163730010478,2005-07-25 14:44:52,
72,1,9,Aibonito,13163731010478,2005-07-25 14:44:52,
72,1,11,Anasco,13163732010478,2005-07-25 14:44:52,
72,1,13,Arecibo,13163733010478,2005-07-25 14:44:52,
72,1,15,Arroyo,13163734010478,2005-07-25 14:44:52,
72,1,17,Barceloneta,13163735010478,2005-07-25 14:44:52,
72,1,19,Barranquitas,13163736010478,2005-07-25 14:44:52,
72,1,21,Bayamon,13163737010478,2005-07-25 14:44:52,
72,1,23,Cabo Rojo,13163738010478,2005-07-25 14:44:52,
72,1,25,Caguas,13163739010478,2005-07-25 14:44:52,
72,1,27,Camuy,13163740010478,2005-07-25 14:44:52,
72,1,29,Canovanas,13163741010478,2005-07-25 14:44:52,
72,1,31,Carolina,13163742010478,2005-07-25 14:44:52,
72,1,33,Catano,13163743010478,2005-07-25 14:44:52,
72,1,35,Cayey,13163744010478,2005-07-25 14:44:52,
72,1,37,Ceiba,13163745010478,2005-07-25 14:44:52,
72,1,39,Ciales,13163746010478,2005-07-25 14:44:52,
72,1,41,Cidra,13163747010478,2005-07-25 14:44:52,
72,1,43,Coamo,13163748010478,2005-07-25 14:44:52,
72,1,45,Comerio,13163749010478,2005-07-25 14:44:52,
72,1,47,Corozal,13163750010478,2005-07-25 14:44:52,2005-07-25 15:10:22
72,1,51,Dorado,13163752010478,2005-07-25 14:44:52,
72,1,53,Fajardo,13163754010478,2005-07-25 14:44:52,2009-02-04 09:33:58
72,1,54,Florida,13163753010478,2005-07-25 14:44:52,2009-02-04 09:33:58
72,1,55,Guanica,13163755010478,2005-07-25 14:44:52,
72,1,57,Guayama,13163756010478,2005-07-25 14:44:52,
72,1,59,Guayanilla,13163757010478,2005-07-25 14:44:52,
72,1,61,Guaynabo,13163758010478,2005-07-25 14:44:52,
72,1,63,Gurabo,13163759010478,2005-07-25 14:44:52,
72,1,65,Hatillo,13163760010478,2005-07-25 14:44:52,
72,1,67,Hormigueros,13163761010478,2005-07-25 14:44:52,
72,1,69,Humacao,13163762010478,2005-07-25 14:44:52,
72,1,71,Isabela Municipio,13163763010478,2005-07-25 14:44:52,
72,1,73,Jayuya,13163764010478,2005-07-25 14:44:52,
72,1,75,Juana Diaz,13163765010478,2005-07-25 14:44:52,
72,1,77,Juncos,13163766010478,2005-07-25 14:44:52,
72,1,79,Lajas,13163767010478,2005-07-25 14:44:52,
72,1,81,Lares,13163768010478,2005-07-25 14:44:52,
72,1,83,Las Marias,13163769010478,2005-07-25 14:44:52,
72,1,85,Las Piedras,13163770010478,2005-07-25 14:44:52,
72,1,87,Loiza,13163771010478,2005-07-25 14:44:52,
72,1,89,Luquillo,13163772010478,2005-07-25 14:44:52,
72,1,91,Manati,13163773010478,2005-07-25 14:44:52,
72,1,93,Maricao,13163774010478,2005-07-25 14:44:52,
72,1,95,Maunabo,13163775010478,2005-07-25 14:44:52,
72,1,97,Mayaguez,13163776010478,2005-07-25 14:44:52,
72,1,99,Moca,13163777010478,2005-07-25 14:44:52,
72,1,101,Morovis,13163778010478,2005-07-25 14:44:52,
72,1,103,Naguabo,13163779010478,2005-07-25 14:44:52,
72,1,105,Naranjito,13163780010478,2005-07-25 14:44:52,
72,1,107,Orocovis,13163781010478,2005-07-25 14:44:52,
72,1,109,Patillas,13163782010478,2005-07-25 14:44:52,
72,1,111,Penuelas,13163783010478,2005-07-25 14:44:52,
72,1,113,Ponce,13163784010478,2005-07-25 14:44:52,
72,1,115,Quebradillas,13163785010478,2005-07-25 14:44:52,
72,1,117,Rincon,13163786010478,2005-07-25 14:44:52,
72,1,119,Rio Grande,13163787010478,2005-07-25 14:44:52,
72,1,121,Sabana Grande,13163788010478,2005-07-25 14:44:52,
72,1,123,Salinas,13163789010478,2005-07-25 14:44:52,
72,1,125,San German,13163790010478,2005-07-25 14:44:52,
72,1,127,San Juan,13163791010478,2005-07-25 14:44:52,
72,1,129,San Lorenzo,13163792010478,2005-07-25 14:44:52,
72,1,131,San Sebastian,13163793010478,2005-07-25 14:44:52,
72,1,133,Santa Isabel,13163794010478,2005-07-25 14:44:52,
72,1,135,Toa Alta,13163795010478,2005-07-25 14:44:52,
72,1,137,Toa Baja,13163796010478,2005-07-25 14:44:52,
72,1,139,Trujillo Alto,13163797010478,2005-07-25 14:44:52,
72,1,141,Utuado,13163798010478,2005-07-25 14:44:52,
72,1,143,Vega Alta,13163799010478,2005-07-25 14:44:52,
72,1,145,Vega Baja,13163800010478,2005-07-25 14:44:52,
72,1,149,Villalba,13163802010478,2005-07-25 14:44:52,
72,1,151,Yabucoa,13163803010478,2005-07-25 14:44:52,
72,1,153,Yuaco,13163804010478,2005-07-25 14:44:52,
72,2,147,Vieques,13163801010478,2005-07-25 14:44:52,2005-07-25 15:10:22
72,3,49,Culebra,13163751010478,2005-07-25 14:44:52,2005-07-25 15:10:22
