CN,INVYR,P3_OZONE_IND,STATECD,STATEAB,STATENM,RSCD,ANN_INVENTORY,NOTES,CREATED_DATE,MODIFIED_DATE,CYCLE,SUBCYCLE,PRJ_CN
490986411126144,1990,N,72,PR,Puerto Rico,33,N,Periodic inventory data derived from PR CYCLE 3.,2017-11-13 10:46:57,2021-05-26 09:49:20,2,0,268905624732862
120176507010478,2001,N,72,PR,Puerto Rico,33,Y,,2008-04-08 09:58:11,2021-05-26 09:49:20,3,1,268905625732862
120178097010478,2002,N,72,PR,Puerto Rico,33,Y,,2008-04-08 09:58:14,2021-05-26 09:49:20,3,2,268905625732862
120182481010478,2003,N,72,PR,Puerto Rico,33,Y,,2008-04-08 09:58:21,2021-05-26 09:49:20,3,3,268905625732862
120187261010478,2004,N,72,PR,Puerto Rico,33,Y,,2008-04-08 09:58:28,2021-05-26 09:49:20,3,4,268905625732862
115221423010478,2006,N,72,PR,Puerto Rico,33,Y,,2008-01-31 15:31:19,2021-05-26 09:49:20,4,1,268905625732862
115225569010478,2007,N,72,PR,Puerto Rico,33,Y,,2008-01-31 15:31:30,2021-05-26 09:49:20,4,2,268905625732862
120128786010478,2008,N,72,PR,Puerto Rico,33,Y,,2008-04-07 12:31:59,2021-05-26 09:49:20,4,3,268905625732862
249586940010854,2009,N,72,PR,Puerto Rico,33,Y,,2010-09-13 14:34:13,2021-05-26 09:49:20,4,4,268905625732862
253412249010854,2011,N,72,PR,Puerto Rico,33,Y,,2010-12-10 12:40:30,2021-05-26 09:49:20,5,1,268905625732862
29558613020004,2012,N,72,PR,Puerto Rico,33,Y,,2012-02-22 10:44:52,2021-05-26 09:49:20,5,2,268905625732862
197179171020004,2013,N,72,PR,Puerto Rico,33,Y,,2013-05-02 15:23:31,2021-05-26 09:49:20,5,3,268905625732862
218999394020004,2014,N,72,PR,Puerto Rico,33,Y,,2013-10-28 08:53:24,2021-05-26 09:49:20,5,3,268905625732862
385585936489998,2016,N,72,PR,Puerto Rico,33,Y,,2016-04-13 08:54:27,2021-05-26 09:49:20,6,1,268905625732862
441096253489998,2017,N,72,PR,Puerto Rico,33,Y,,2016-12-10 15:55:34,2021-05-26 09:49:20,6,2,268905625732862
480533676489998,2018,N,72,PR,Puerto Rico,33,Y,,2017-07-14 10:47:59,2021-05-26 09:49:20,6,3,268905625732862
548973832126144,2019,N,72,PR,Puerto Rico,33,Y,,2018-08-02 11:11:01,2021-05-26 09:49:20,6,4,268905625732862
807231803290487,2021,N,72,PR,Puerto Rico,33,Y,,2020-11-12 09:56:42,2021-05-26 09:58:02,7,1,268905625732862
905376970290487,2022,N,72,PR,Puerto Rico,33,Y,,2021-10-04 09:21:13,,7,2,268905625732862
1237728075290487,2023,N,72,PR,Puerto Rico,33,Y,,2022-08-30 13:08:50,,7,3,268905625732862
1309389938290487,2024,N,72,PR,Puerto Rico,33,Y,,2023-05-09 13:10:46,,7,4,268905625732862
