CN,PLT_CN,INVYR,STATECD,COUNTYCD,PLOT,VEG_QA_STATUS,VEG_KINDCD,VEG_MANUAL,TRACE_COVER_ALLOWED,VEG_MEASYEAR,VEG_MEASMON,VEG_MEASDAY,VEG_SAMPLE_BASIS,CREATED_DATE,MODIFIED_DATE,QA_STATUS
250126677010854,249604485010854,2008,72,97,3,1,1,4.0,1,2008,4,15,2,2015-03-20 16:01:33,2022-05-17 11:41:21,
250126684010854,249604494010854,2008,72,97,20,1,1,4.0,1,2008,4,22,2,2015-03-20 16:01:34,2022-05-17 11:41:21,
250126679010854,249604488010854,2008,72,97,27,1,1,4.0,1,2008,4,19,2,2015-03-20 16:01:33,2022-05-17 11:41:21,
250126698010854,249604510010854,2008,72,97,41,1,1,4.0,1,2008,4,16,2,2015-03-20 16:01:35,2022-05-17 11:41:21,
250126685010854,249604495010854,2008,72,97,52,1,1,4.0,1,2008,4,22,2,2015-03-20 16:01:34,2022-05-17 11:41:21,
250126700010854,249604512010854,2008,72,97,54,1,1,4.0,1,2008,4,18,2,2015-03-20 16:01:35,2022-05-17 11:41:21,
250126681010854,249604490010854,2008,72,97,61,1,1,4.0,1,2008,4,15,2,2015-03-20 16:01:33,2022-05-17 11:41:21,
250126693010854,249604504010854,2008,72,97,62,1,1,4.0,1,2008,4,21,2,2015-03-20 16:01:34,2022-05-17 11:41:21,
250126699010854,249604511010854,2008,72,97,66,1,1,4.0,1,2008,4,19,2,2015-03-20 16:01:35,2022-05-17 11:41:21,
250126694010854,249604505010854,2008,72,97,75,1,1,4.0,1,2008,4,19,2,2015-03-20 16:01:34,2022-05-17 11:41:21,
250126688010854,249604498010854,2008,72,97,89,1,1,4.0,1,2008,4,17,2,2015-03-20 16:01:34,2022-05-17 11:41:21,
250126696010854,249604508010854,2008,72,97,90,1,1,4.0,1,2008,4,18,2,2015-03-20 16:01:34,2022-05-17 11:41:21,
250126695010854,249604507010854,2008,72,97,92,1,1,4.0,1,2008,4,21,2,2015-03-20 16:01:34,2022-05-17 11:41:21,
250126683010854,249604493010854,2008,72,97,93,1,1,4.0,1,2008,4,17,2,2015-03-20 16:01:34,2022-05-17 11:41:21,
250126676010854,249604484010854,2008,72,97,100,1,1,4.0,1,2008,4,14,2,2015-03-20 16:01:32,2022-05-17 11:41:21,
250126690010854,249604501010854,2008,72,97,128,1,1,4.0,1,2008,4,22,2,2015-03-20 16:01:34,2022-05-17 11:41:21,
250126701010854,249604513010854,2008,72,97,129,1,1,4.0,1,2008,4,19,2,2015-03-20 16:01:35,2022-05-17 11:41:21,
250126697010854,249604509010854,2008,72,97,134,1,1,4.0,1,2008,4,18,2,2015-03-20 16:01:35,2022-05-17 11:41:21,
250126682010854,249604492010854,2008,72,97,157,1,1,4.0,1,2008,4,18,2,2015-03-20 16:01:34,2022-05-17 11:41:21,
250126692010854,249604503010854,2008,72,97,165,1,1,4.0,1,2008,4,16,2,2015-03-20 16:01:34,2022-05-17 11:41:21,
250126686010854,249604496010854,2008,72,97,167,1,1,4.0,1,2008,4,21,2,2015-03-20 16:01:34,2022-05-17 11:41:21,
250126678010854,249604487010854,2008,72,97,179,1,1,4.0,1,2008,4,17,2,2015-03-20 16:01:33,2022-05-17 11:41:21,
250126691010854,249604502010854,2008,72,97,185,1,1,4.0,1,2008,4,16,2,2015-03-20 16:01:34,2022-05-17 11:41:21,
250126687010854,249604497010854,2008,72,97,189,1,1,4.0,1,2008,4,17,2,2015-03-20 16:01:34,2022-05-17 11:41:21,
250126689010854,249604499010854,2008,72,97,195,1,1,4.0,1,2008,4,16,2,2015-03-20 16:01:34,2022-05-17 11:41:21,
250126680010854,249604489010854,2008,72,97,198,1,1,4.0,1,2008,4,15,2,2015-03-20 16:01:33,2022-05-17 11:41:21,
250126702010854,249604514010854,2008,72,97,202,1,1,4.0,1,2008,4,21,2,2015-03-20 16:01:35,2022-05-17 11:41:21,
